Func,runtime
insertPoints , 0.13392
findPoints , 0.00097
insertPoints , 0.1935
findPoints , 0.00565
insertPoints , 0.31013
findPoints , 0.00368
insertPoints , 0.22174
findPoints , 0.00212
insertPoints , 11.32426
findPoints , 0.06992
insertPoints , 1.58252
findPoints , 0.06871
insertPoints , 1.55458
findPoints , 0.05579
insertPoints , 1.51104
findPoints , 0.05675
insertPoints , 1.50657
findPoints , 0.05484
insertPoints , 1.56756
findPoints , 0.0583
insertPoints , 1.58179
findPoints , 0.06351
insertPoints , 1.55018
findPoints , 0.06035
insertPoints , 1.58257
findPoints , 0.06006
insertPoints , 1.54638
findPoints , 0.05905
insertPoints , 1.54323
findPoints , 0.06123
insertPoints , 1.50926
findPoints , 0.05903
insertPoints , 1.56646
findPoints , 0.05804
insertPoints , 1.48334
findPoints , 0.05779
insertPoints , 1.49764
findPoints , 0.05815
insertPoints , 1.54745
findPoints , 0.05991
insertPoints , 1.49777
findPoints , 0.05762
insertPoints , 1.44568
findPoints , 0.05964
insertPoints , 1.46624
findPoints , 0.98452
insertPoints , 1.5047
findPoints , 0.05881
insertPoints , 1.52334
findPoints , 0.05862
insertPoints , 1.50021
findPoints , 0.06003
insertPoints , 1.57583
findPoints , 0.05806
insertPoints , 1.50865
findPoints , 0.05576
insertPoints , 1.50301
findPoints , 0.05647
insertPoints , 1.50878
findPoints , 0.05613
insertPoints , 1.51769
findPoints , 0.05731
insertPoints , 1.50982
findPoints , 0.05677
insertPoints , 1.50386
findPoints , 0.05679
insertPoints , 1.58293
findPoints , 0.0567
insertPoints , 1.46541
findPoints , 0.05507
insertPoints , 1.53449
findPoints , 0.05591
insertPoints , 1.51353
findPoints , 0.0553
insertPoints , 1.51468
findPoints , 0.0548
insertPoints , 1.43386
findPoints , 0.05774
insertPoints , 1.42985
findPoints , 0.05486
insertPoints , 1.48154
findPoints , 0.05606
insertPoints , 1.52232
findPoints , 0.05507
insertPoints , 1.41985
findPoints , 0.05101
insertPoints , 1.44228
findPoints , 0.05594
insertPoints , 1.47218
findPoints , 0.05498
insertPoints , 1.49878
findPoints , 0.05447
insertPoints , 1.49303
findPoints , 0.05482
insertPoints , 1.52313
findPoints , 0.05448
insertPoints , 1.47878
findPoints , 0.05509
insertPoints , 1.44714
findPoints , 0.05509
insertPoints , 1.53624
findPoints , 0.05578
insertPoints , 1.53841
findPoints , 0.0573
insertPoints , 1.48855
findPoints , 0.05509
insertPoints , 1.42691
findPoints , 0.05463
insertPoints , 1.40521
findPoints , 0.05414
insertPoints , 1.4428
findPoints , 0.05513
insertPoints , 1.55058
findPoints , 0.05555
insertPoints , 1.58751
findPoints , 0.05455
insertPoints , 1.57072
findPoints , 0.05437
insertPoints , 1.54842
findPoints , 0.05451
insertPoints , 1.51339
findPoints , 0.05508
insertPoints , 1.61861
findPoints , 0.05434
insertPoints , 1.44035
findPoints , 0.05749
insertPoints , 1.48204
findPoints , 0.05449
insertPoints , 1.52157
findPoints , 0.05364
insertPoints , 1.49171
findPoints , 0.05693
insertPoints , 1.59572
findPoints , 0.05902
insertPoints , 1.63406
findPoints , 0.06137
insertPoints , 1.59825
findPoints , 0.05743
insertPoints , 1.60756
findPoints , 0.05409
insertPoints , 1.61252
findPoints , 0.05471
insertPoints , 1.56663
findPoints , 0.05578
insertPoints , 1.51589
findPoints , 0.05497
insertPoints , 1.51542
findPoints , 0.05547
insertPoints , 1.4935
findPoints , 0.05624
insertPoints , 1.53562
findPoints , 0.05454
insertPoints , 1.50829
findPoints , 0.05427
insertPoints , 1.47335
findPoints , 0.05381
insertPoints , 1.50901
findPoints , 0.05413
insertPoints , 1.57149
findPoints , 0.05441
insertPoints , 1.47447
findPoints , 0.05344
insertPoints , 1.44346
findPoints , 0.05344
insertPoints , 1.52338
findPoints , 0.05438
insertPoints , 1.60547
findPoints , 0.05624
insertPoints , 1.58735
findPoints , 0.0553
insertPoints , 1.57821
findPoints , 0.05379
insertPoints , 1.54857
findPoints , 0.05861
insertPoints , 1.5539
findPoints , 0.05375
insertPoints , 1.56743
findPoints , 0.05509
insertPoints , 1.62842
findPoints , 0.05601
insertPoints , 1.60184
findPoints , 0.05494
insertPoints , 1.65706
findPoints , 0.05732
insertPoints , 1.56507
findPoints , 0.05439
insertPoints , 1.56082
findPoints , 0.05455
insertPoints , 1.55411
findPoints , 0.05551
insertPoints , 1.53814
findPoints , 0.05575
insertPoints , 1.53933
findPoints , 0.05417
insertPoints , 1.43203
findPoints , 0.05584
insertPoints , 1.58171
findPoints , 0.05635
insertPoints , 1.56457
findPoints , 0.05643
insertPoints , 1.40975
findPoints , 0.05363
insertPoints , 1.42829
findPoints , 0.0542
insertPoints , 1.43193
findPoints , 0.05329
insertPoints , 1.46121
findPoints , 0.05653
insertPoints , 1.40365
findPoints , 0.05343
insertPoints , 1.42669
findPoints , 0.05354
insertPoints , 1.46034
findPoints , 0.05338
insertPoints , 1.43714
findPoints , 0.05351
insertPoints , 1.40653
findPoints , 0.05429
insertPoints , 1.39616
findPoints , 0.05403
insertPoints , 1.54058
findPoints , 0.05476
insertPoints , 1.46413
findPoints , 0.0536
insertPoints , 1.4724
findPoints , 0.05354
insertPoints , 1.44545
findPoints , 0.0492
insertPoints , 1.49337
findPoints , 0.05346
insertPoints , 1.44131
findPoints , 0.05438
insertPoints , 1.49484
findPoints , 0.05559
insertPoints , 1.58289
findPoints , 0.05458
insertPoints , 1.60463
findPoints , 0.05571
insertPoints , 1.53366
findPoints , 0.05353
insertPoints , 1.46748
findPoints , 0.05438
insertPoints , 1.57962
findPoints , 0.05336
insertPoints , 1.51494
findPoints , 0.05505
insertPoints , 1.57586
findPoints , 0.05409
insertPoints , 1.48639
findPoints , 0.05336
insertPoints , 1.45198
findPoints , 0.05451
insertPoints , 1.39062
findPoints , 0.05404
insertPoints , 1.44544
findPoints , 0.05489
insertPoints , 1.43591
findPoints , 0.0535
insertPoints , 1.39796
findPoints , 0.05349
insertPoints , 1.40803
findPoints , 0.05346
insertPoints , 1.51453
findPoints , 0.05348
insertPoints , 1.49722
findPoints , 0.05428
insertPoints , 1.45047
findPoints , 0.0535
insertPoints , 1.47706
findPoints , 0.05622
insertPoints , 1.39634
findPoints , 0.05344
insertPoints , 1.45924
findPoints , 0.05344
insertPoints , 1.40567
findPoints , 0.05484
insertPoints , 1.52379
findPoints , 0.05346
insertPoints , 1.49509
findPoints , 0.05432
insertPoints , 1.46751
findPoints , 0.05351
insertPoints , 1.48438
findPoints , 0.05426
insertPoints , 1.52728
findPoints , 0.05347
insertPoints , 1.413
findPoints , 0.05376
insertPoints , 1.46574
findPoints , 0.05414
insertPoints , 1.50036
findPoints , 0.05347
insertPoints , 1.49696
findPoints , 0.05483
insertPoints , 1.43534
findPoints , 0.05426
insertPoints , 1.38775
findPoints , 0.05365
