Func,runtime
insertPoints , 0.26215
findPointsRtree , 0.00126
insertPoints , 0.42005
findPointsRtree , 0.00145
insertPoints , 0.66739
findPointsRtree , 0.00178
insertPoints , 0.59105
findPointsRtree , 0.00056
insertPoints , 0.63272
findPointsRtree , 0.00053
insertPoints , 0.64856
findPointsRtree , 0.00054
insertPoints , 0.7301
findPointsRtree , 0.00124
insertPoints , 0.69535
findPointsRtree , 0.00106
insertPoints , 0.55857
findPointsRtree , 0.00057
insertPoints , 0.60691
findPointsRtree , 0.00064
insertPoints , 0.73566
findPointsRtree , 0.00058
insertPoints , 0.6539
findPointsRtree , 0.00058
insertPoints , 0.94807
findPointsRtree , 0.00063
insertPoints , 0.60388
findPointsRtree , 0.0009
insertPoints , 0.81866
findPointsRtree , 0.00053
insertPoints , 0.39881
findPointsRtree , 0.00058
insertPoints , 0.83809
findPointsRtree , 0.00055
insertPoints , 0.4646
findPointsRtree , 0.00059
insertPoints , 0.47087
findPointsRtree , 0.00087
insertPoints , 0.46965
findPointsRtree , 0.00061
insertPoints , 0.97367
findPointsRtree , 0.00063
insertPoints , 0.47877
findPointsRtree , 0.00066
insertPoints , 0.52958
findPointsRtree , 0.00061
insertPoints , 0.52494
findPointsRtree , 0.00068
insertPoints , 0.46939
findPointsRtree , 0.00056
insertPoints , 1.45427
findPointsRtree , 0.00076
insertPoints , 0.70059
findPointsRtree , 0.00119
insertPoints , 0.53619
findPointsRtree , 0.00062
insertPoints , 0.5069
findPointsRtree , 0.00062
insertPoints , 0.51343
findPointsRtree , 0.00063
insertPoints , 0.51055
findPointsRtree , 0.00057
insertPoints , 0.47425
findPointsRtree , 0.00081
insertPoints , 0.46311
findPointsRtree , 0.00056
insertPoints , 1.54509
findPointsRtree , 0.00074
insertPoints , 0.40875
findPointsRtree , 0.00115
insertPoints , 0.51522
findPointsRtree , 0.00157
insertPoints , 0.58535
findPointsRtree , 0.00136
insertPoints , 0.68657
findPointsRtree , 0.00067
insertPoints , 0.50338
findPointsRtree , 0.00055
insertPoints , 0.4822
findPointsRtree , 0.00059
insertPoints , 0.5034
findPointsRtree , 0.00071
insertPoints , 0.5633
findPointsRtree , 0.00066
insertPoints , 0.57784
findPointsRtree , 0.00082
insertPoints , 0.59188
findPointsRtree , 0.0009
insertPoints , 0.65428
findPointsRtree , 0.00076
insertPoints , 0.61599
findPointsRtree , 0.00076
insertPoints , 0.66824
findPointsRtree , 0.00073
insertPoints , 0.55474
findPointsRtree , 0.00058
insertPoints , 0.53183
findPointsRtree , 0.00061
insertPoints , 0.55082
findPointsRtree , 0.00062
insertPoints , 1.75555
findPointsRtree , 0.00078
insertPoints , 0.5635
findPointsRtree , 0.00073
insertPoints , 0.64487
